rank,rank_scan_order,image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1
1,47,"(96, 96)",12,"(8, 8)","(3, 3)",gray_clahe,10800,0.9966216216216216,0.9952830188679245,0.9984472049689441,0.9968402314196707
2,3,"(64, 64)",6,"(4, 4)","(3, 3)",gray_clahe,10584,0.9966216216216216,0.9984567901234568,0.99375,0.9960614492299251
3,22,"(64, 64)",12,"(8, 8)","(2, 2)",gray_clahe_blur,2352,0.9932432432432432,0.9907407407407407,0.9921972049689441,0.9913396457065222
4,7,"(64, 64)",6,"(8, 8)","(3, 3)",gray_clahe,1944,0.9932432432432432,0.9907407407407407,0.9921972049689441,0.9913396457065222
5,39,"(96, 96)",9,"(8, 8)","(3, 3)",gray_clahe,8100,0.9932432432432432,0.9907407407407407,0.9921972049689441,0.9913396457065222
6,37,"(96, 96)",9,"(8, 8)","(2, 2)",gray_clahe,4356,0.9932432432432432,0.989094746716698,0.9936395126612518,0.9913270717398444
7,23,"(64, 64)",12,"(8, 8)","(3, 3)",gray_clahe,3888,0.9932432432432432,0.9896012006861064,0.9921972049689441,0.9908021112392547
8,24,"(64, 64)",12,"(8, 8)","(3, 3)",gray_clahe_blur,3888,0.9932432432432432,0.9896012006861064,0.9921972049689441,0.9908021112392547
9,43,"(96, 96)",12,"(4, 4)","(3, 3)",gray_clahe,52272,0.9932432432432432,0.9880952380952381,0.9903846153846154,0.9890004782400765
10,1,"(64, 64)",6,"(4, 4)","(2, 2)",gray_clahe,5400,0.9932432432432432,0.9889423076923077,0.9889423076923077,0.9889423076923077
11,5,"(64, 64)",6,"(8, 8)","(2, 2)",gray_clahe,1176,0.9932432432432432,0.9907407407407407,0.9875,0.9888727624576681
12,31,"(96, 96)",6,"(8, 8)","(3, 3)",gray_clahe,5400,0.9898648648648649,0.9873895126612519,0.9873895126612519,0.9873895126612519
13,4,"(64, 64)",6,"(4, 4)","(3, 3)",gray_clahe_blur,10584,0.9898648648648649,0.9873895126612519,0.9873895126612519,0.9873895126612519
14,30,"(96, 96)",6,"(8, 8)","(2, 2)",gray_clahe_blur,2904,0.9898648648648649,0.9891879457096848,0.9859472049689442,0.9873199674266122
15,45,"(96, 96)",12,"(8, 8)","(2, 2)",gray_clahe,5808,0.9898648648648649,0.9831932773109243,0.9888318203535595,0.9858420694269551
16,8,"(64, 64)",6,"(8, 8)","(3, 3)",gray_clahe_blur,1944,0.9898648648648649,0.9850589225589226,0.9859472049689442,0.9852203830399004
