image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1,seconds
32x32,6,4x4,1x1,gray,384,0.9738562091503268,0.9751253588169035,0.9507575757575758,0.9619090661832147,1.9289569854736328
32x32,6,4x4,1x1,gray_clahe,384,0.9444444444444444,0.942476285136124,0.915377176015474,0.9255451875319023,2.3737895488739014
32x32,6,4x4,1x1,gray_clahe_blur,384,0.9640522875816994,0.95,0.9416505480335268,0.9451314333562606,2.6900296211242676
32x32,6,4x4,2x2,gray,1176,0.9803921568627451,0.9790348428453267,0.9659090909090909,0.9722014363198072,1.3894531726837158
32x32,6,4x4,2x2,gray_clahe,1176,0.9705882352941176,0.968231575701511,0.9568020631850419,0.9618766182595969,2.3579723834991455
32x32,6,4x4,2x2,gray_clahe_blur,1176,0.9738562091503268,0.9681776892708661,0.9527724049000645,0.9593275196145721,2.1471574306488037
32x32,6,4x4,3x3,gray,1944,0.9836601307189542,0.985290948275862,0.9734848484848485,0.9791510814766629,1.240262746810913
32x32,6,4x4,3x3,gray_clahe,1944,0.9705882352941176,0.9597739014716626,0.9527724049000645,0.9561376355297779,2.711909532546997
32x32,6,4x4,3x3,gray_clahe_blur,1944,0.9673202614379085,0.963996916824329,0.9509993552546745,0.9569447765467851,1.7454676628112793
32x32,6,8x8,1x1,gray,96,0.9379084967320261,0.908962287729093,0.9133623468729852,0.9107119333323993,0.3463444709777832
32x32,6,8x8,1x1,gray_clahe,96,0.9084967320261438,0.8869182188093889,0.8759671179883946,0.8809784355113012,0.7057111263275146
32x32,6,8x8,1x1,gray_clahe_blur,96,0.9150326797385621,0.8908981643356644,0.8873307543520309,0.8890500344725697,0.7314667701721191
32x32,6,8x8,2x2,gray,216,0.9673202614379085,0.9633914485334364,0.945196647324307,0.9535562012132648,0.4532952308654785
32x32,6,8x8,2x2,gray_clahe,216,0.934640522875817,0.912330500381971,0.9118310767246938,0.9119755476902128,0.6880073547363281
32x32,6,8x8,2x2,gray_clahe_blur,216,0.9509803921568627,0.9390553652968037,0.920696324951644,0.9292787158640817,0.7444279193878174
32x32,6,8x8,3x3,gray,216,0.9575163398692811,0.9450042196365727,0.9416505480335268,0.9431080602853411,0.3036026954650879
32x32,6,8x8,3x3,gray_clahe,216,0.9117647058823529,0.8897552994515199,0.877498388136686,0.8820932923147109,0.5337612628936768
32x32,6,8x8,3x3,gray_clahe_blur,216,0.9575163398692811,0.9438192016317016,0.9398774983881367,0.9417799336813422,0.5662281513214111
32x32,6,16x16,1x1,gray,24,0.8398692810457516,0.8365489130434782,0.7719213410702772,0.7941463134961587,0.1923389434814453
32x32,6,16x16,1x1,gray_clahe,24,0.7777777777777778,0.7518886131789357,0.7223565441650548,0.734682187987111,0.4362068176269531
32x32,6,16x16,1x1,gray_clahe_blur,24,0.803921568627451,0.7778848204433977,0.7559638942617666,0.7623010739833772,0.43465709686279297
32x32,6,16x16,2x2,gray,24,0.9313725490196079,0.9253559510567296,0.8961960025789812,0.9094741583410972,0.160292387008667
32x32,6,16x16,2x2,gray_clahe,24,0.9052287581699346,0.9030520309997923,0.8646034816247582,0.8800004915152586,0.34090280532836914
32x32,6,16x16,2x2,gray_clahe_blur,24,0.8986928104575164,0.8807841412319024,0.8572695035460993,0.8662790287931081,0.3809928894042969
32x32,9,4x4,1x1,gray,576,0.9869281045751634,0.9873698714023269,0.9696969696969697,0.9774320199602315,4.938817977905273
