random_state,baseline_macro_f1,optimized_macro_f1,delta_macro_f1,baseline_acc,optimized_acc,test_rois,train_files,test_files,fixed_by_optimized,regressed_by_optimized
126,0.9674321568426478,0.9888727624576681,0.02144060561502026,0.9763513513513513,0.9932432432432432,296,555,186,6,1
4,0.9699311171009284,0.9838529450678983,0.013921827966969946,0.9774193548387097,0.9870967741935484,310,555,186,3,0
81,0.9672230390507122,0.9798589888972176,0.012635949846505401,0.970873786407767,0.9838187702265372,309,555,186,6,2
45,0.9687804580896686,0.9812482185975724,0.012467760507903769,0.974025974025974,0.9837662337662337,308,555,186,4,1
87,0.9808264736793844,0.9927312355841463,0.011904761904761973,0.9840764331210191,0.9904458598726115,314,555,186,3,1
129,0.980752328313304,0.9925330012792248,0.01178067296592089,0.9848484848484849,0.9939393939393939,330,555,186,3,0
65,0.9720840243228303,0.9834913370382478,0.011407312715417506,0.9829931972789115,0.9897959183673469,294,555,186,2,0
42,0.9699513936356041,0.9806955769705954,0.010744183334991275,0.9803921568627451,0.9869281045751634,306,555,186,2,0
116,0.9739416458840919,0.9828901653812341,0.008948519497142149,0.9770491803278688,0.9836065573770492,305,555,186,3,1
157,0.9813870292676208,0.9901785714285715,0.008791542160950683,0.9868421052631579,0.993421052631579,304,555,186,3,1
127,0.9738864838864839,0.9824801587301588,0.008593674843674903,0.9777070063694268,0.9840764331210191,314,555,186,3,1
130,0.9749914026229816,0.9835693270770121,0.008577924454030494,0.9800664451827242,0.9867109634551495,301,555,186,4,2
41,0.9779088581073216,0.9862413386407195,0.008332480533397857,0.9839228295819936,0.9903536977491961,311,555,186,2,0
8,0.970125588995288,0.9778206750591124,0.007695086063824408,0.9771986970684039,0.9837133550488599,307,555,186,3,1
58,0.9769546239183737,0.98423171223277,0.007277088314396218,0.9804560260586319,0.9869706840390879,307,555,186,2,0
175,0.9881366272571471,0.9953607852158577,0.007224157958710564,0.9900990099009901,0.9966996699669967,303,555,186,2,0
95,0.9711134453781513,0.9782595914431773,0.00714614606502606,0.9809523809523809,0.9841269841269841,315,555,186,2,1
118,0.9819048181427499,0.9886248736097067,0.006720055466956865,0.9829351535836177,0.9897610921501706,293,555,186,2,0
191,0.9787432859123586,0.9853467624626046,0.006603476550245957,0.9840255591054313,0.987220447284345,313,555,186,2,1
132,0.9728856813566764,0.9793752060346332,0.006489524677956826,0.980327868852459,0.9868852459016394,305,555,186,2,0
199,0.9797418197418197,0.9855193705108999,0.005777550769080153,0.9837662337662337,0.987012987012987,308,555,186,2,1
163,0.9775521375192944,0.9832744565217391,0.005722319002444687,0.9834983498349835,0.9867986798679867,303,555,186,2,1
133,0.9746970264867566,0.9796895781873456,0.0049925517005889875,0.9829351535836177,0.9863481228668942,293,555,186,1,0
89,0.9613673594029022,0.9661998327759197,0.0048324733730175096,0.9680511182108626,0.9712460063897763,313,555,186,5,4
139,0.9724040171262543,0.9770220588235294,0.004618041697275088,0.9834983498349835,0.9867986798679867,303,555,186,1,0
50,0.9643282856232497,0.9688143179260412,0.004486032302791543,0.9742765273311897,0.977491961414791,311,555,186,3,2
169,0.995540691192865,1.0,0.004459308807134965,0.99644128113879,1.0,281,555,186,1,0
103,0.9569821261402478,0.9610734373611853,0.004091311220937532,0.9726027397260274,0.9726027397260274,292,555,186,1,1
