model,condition,accuracy,macro_precision,macro_recall,macro_f1
Baseline HOG + SVM,clean,0.9763513513513513,0.9696699905033238,0.9652741280458672,0.9674321568426478
Optimized HOG + SVM,clean,0.9932432432432432,0.989094746716698,0.9936395126612518,0.9913270717398444
Baseline HOG + SVM,low_brightness,0.9797297297297297,0.9733497390820046,0.9700818203535595,0.9714757487522049
Optimized HOG + SVM,low_brightness,0.9831081081081081,0.9725274725274725,0.9810290253225036,0.9766269934333959
Baseline HOG + SVM,high_brightness,0.972972972972973,0.9628999748047367,0.9619087434304826,0.9620586029757547
Optimized HOG + SVM,high_brightness,0.9864864864864865,0.97765617875057,0.9872790253225037,0.9821198020236285
Baseline HOG + SVM,low_contrast,0.9831081081081081,0.9767397457614849,0.9763318203535595,0.9764645862490928
Optimized HOG + SVM,low_contrast,0.9695945945945946,0.9536383572567784,0.9719332298136646,0.9621617114303144
Baseline HOG + SVM,gaussian_blur,0.9662162162162162,0.9709130689669612,0.9418269230769231,0.9541575863870988
Optimized HOG + SVM,gaussian_blur,0.9797297297297297,0.9737746247654784,0.9780339225991399,0.9758661279299908
Baseline HOG + SVM,gaussian_noise,0.8547297297297297,0.830178163323956,0.891656712852365,0.8510231123289277
Optimized HOG + SVM,gaussian_noise,0.8547297297297297,0.8371400198609731,0.9108158146201625,0.8593449349179401
